date,service_name,category,chip_family,region,environment,cost_centre,cost_usd,currency,anomaly_injected,anomaly_reason,resource_id
2025-12-14,Azure Virtual Machines,Compute,cpu_general,East US,production,data-platform,305.6827,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureVirtualMachines/east-us-001
2025-12-14,Azure Virtual Machines,Compute,cpu_general,Australia East,staging,analytics,290.748,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureVirtualMachines/australia-east-001
2025-12-14,Azure Virtual Machines,Compute,cpu_general,Southeast Asia,production,finops,309.2336,USD,False,,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureVirtualMachines/southeast-asia-001
2025-12-14,Azure Virtual Machines,Compute,cpu_general,UK South,production,data-platform,329.8217,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureVirtualMachines/uk-south-001
2025-12-14,Azure Kubernetes Service,Compute,cpu_general,West Europe,production,analytics,212.9351,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureKubernetesService/west-europe-001
2025-12-14,Azure Kubernetes Service,Compute,cpu_general,UK South,production,analytics,212.9354,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureKubernetesService/uk-south-001
2025-12-14,Azure Machine Learning,AI/ML,gpu_training,West Europe,staging,data-platform,457.2928,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureMachineLearning/west-europe-001
2025-12-14,Azure Machine Learning,AI/ML,gpu_training,Central India,staging,ml-engineering,430.9263,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureMachineLearning/central-india-001
2025-12-14,Azure Machine Learning,AI/ML,gpu_training,Southeast Asia,staging,cloud-infra,390.7515,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureMachineLearning/southeast-asia-001
2025-12-14,Azure OpenAI Service,AI/ML,gpu_inference,West Europe,production,finops,189.8997,USD,False,,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureOpenAIService/west-europe-001
2025-12-14,Azure OpenAI Service,AI/ML,gpu_inference,Australia East,production,cloud-infra,175.2526,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureOpenAIService/australia-east-001
2025-12-14,Azure OpenAI Service,AI/ML,gpu_inference,Southeast Asia,production,data-platform,175.219,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureOpenAIService/southeast-asia-001
2025-12-14,Azure Databricks,Analytics,cpu_general,Central India,production,cloud-infra,278.2845,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureDatabricks/central-india-001
2025-12-14,Azure Databricks,Analytics,cpu_general,UK South,staging,analytics,231.214,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureDatabricks/uk-south-001
2025-12-14,Azure Databricks,Analytics,cpu_general,East US,development,cloud-infra,235.3278,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureDatabricks/east-us-001
2025-12-14,Azure Databricks,Analytics,cpu_general,West Europe,production,data-platform,260.7196,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureDatabricks/west-europe-001
2025-12-14,Azure Synapse Analytics,Analytics,cpu_general,Australia East,staging,data-platform,135.0891,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureSynapseAnalytics/australia-east-001
2025-12-14,Azure Synapse Analytics,Analytics,cpu_general,West Europe,staging,data-platform,150.6955,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureSynapseAnalytics/west-europe-001
2025-12-14,Azure Data Factory,Integration,cpu_general,Southeast Asia,production,cloud-infra,61.6693,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureDataFactory/southeast-asia-001
2025-12-14,Azure Data Factory,Integration,cpu_general,Central India,production,cloud-infra,58.9865,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureDataFactory/central-india-001
2025-12-14,Azure Data Factory,Integration,cpu_general,Australia East,staging,data-platform,74.2973,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureDataFactory/australia-east-001
2025-12-14,Azure Blob Storage,Storage,storage,Australia East,production,cloud-infra,96.2299,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureBlobStorage/australia-east-001
2025-12-14,Azure Blob Storage,Storage,storage,West Europe,development,analytics,98.5294,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureBlobStorage/west-europe-001
2025-12-14,Azure Blob Storage,Storage,storage,UK South,production,cloud-infra,86.83,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureBlobStorage/uk-south-001
2025-12-14,Azure Blob Storage,Storage,storage,East US,staging,data-platform,93.732,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureBlobStorage/east-us-001
2025-12-14,Azure Data Lake Storage Gen2,Storage,storage,East US,production,data-platform,123.587,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureDataLakeStorageGen2/east-us-001
2025-12-14,Azure Data Lake Storage Gen2,Storage,storage,Southeast Asia,production,analytics,111.2203,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureDataLakeStorageGen2/southeast-asia-001
2025-12-14,Azure SQL Database,Database,cpu_general,Southeast Asia,development,finops,133.3922,USD,False,,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureSQLDatabase/southeast-asia-001
2025-12-14,Azure SQL Database,Database,cpu_general,West Europe,production,ml-engineering,123.2774,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureSQLDatabase/west-europe-001
2025-12-14,Azure SQL Database,Database,cpu_general,Central India,production,analytics,126.4781,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureSQLDatabase/central-india-001
2025-12-14,Azure SQL Database,Database,cpu_general,UK South,production,analytics,123.2663,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureSQLDatabase/uk-south-001
2025-12-14,Azure Cosmos DB,Database,cpu_general,UK South,production,ml-engineering,184.8573,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureCosmosDB/uk-south-001
2025-12-14,Azure Cosmos DB,Database,cpu_general,Central India,production,data-platform,160.8262,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureCosmosDB/central-india-001
2025-12-14,Azure Cosmos DB,Database,cpu_general,Southeast Asia,staging,data-platform,147.3767,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureCosmosDB/southeast-asia-001
2025-12-14,Azure Stream Analytics,Integration,cpu_general,Australia East,staging,finops,89.5275,USD,False,,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureStreamAnalytics/australia-east-001
2025-12-14,Azure Stream Analytics,Integration,cpu_general,West Europe,production,finops,75.7959,USD,False,,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureStreamAnalytics/west-europe-001
2025-12-14,Azure Functions,Compute,cpu_serverless,UK South,development,data-platform,32.0263,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureFunctions/uk-south-001
2025-12-14,Azure Functions,Compute,cpu_serverless,Central India,staging,data-platform,26.5616,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureFunctions/central-india-001
2025-12-14,Azure Functions,Compute,cpu_serverless,Southeast Asia,staging,analytics,28.153,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureFunctions/southeast-asia-001
2025-12-14,Azure Monitor,Management,cpu_general,Australia East,production,ml-engineering,56.8819,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureMonitor/australia-east-001
2025-12-14,Azure Monitor,Management,cpu_general,Southeast Asia,production,cloud-infra,59.3083,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureMonitor/southeast-asia-001
2025-12-14,Azure Monitor,Management,cpu_general,East US,development,ml-engineering,56.7677,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureMonitor/east-us-001
2025-12-14,Azure Purview,Governance,cpu_general,East US,production,ml-engineering,41.6114,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzurePurview/east-us-001
2025-12-14,Azure Purview,Governance,cpu_general,Southeast Asia,production,analytics,40.9883,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzurePurview/southeast-asia-001
2025-12-14,Azure Purview,Governance,cpu_general,West Europe,development,analytics,37.0322,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzurePurview/west-europe-001
2025-12-14,Azure Purview,Governance,cpu_general,Australia East,production,data-platform,39.5813,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzurePurview/australia-east-001
2025-12-15,Azure Virtual Machines,Compute,cpu_general,Southeast Asia,production,ml-engineering,404.8596,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureVirtualMachines/southeast-asia-001
2025-12-15,Azure Virtual Machines,Compute,cpu_general,Australia East,development,data-platform,455.8989,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureVirtualMachines/australia-east-001
2025-12-15,Azure Kubernetes Service,Compute,cpu_general,Australia East,staging,analytics,318.7872,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureKubernetesService/australia-east-001
2025-12-15,Azure Kubernetes Service,Compute,cpu_general,Central India,staging,ml-engineering,266.4985,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureKubernetesService/central-india-001
2025-12-15,Azure Machine Learning,AI/ML,gpu_training,Central India,production,analytics,595.5334,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureMachineLearning/central-india-001
2025-12-15,Azure Machine Learning,AI/ML,gpu_training,UK South,production,ml-engineering,562.6006,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureMachineLearning/uk-south-001
2025-12-15,Azure Machine Learning,AI/ML,gpu_training,West Europe,development,ml-engineering,549.048,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureMachineLearning/west-europe-001
2025-12-15,Azure Machine Learning,AI/ML,gpu_training,Australia East,staging,finops,608.8888,USD,False,,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureMachineLearning/australia-east-001
2025-12-15,Azure OpenAI Service,AI/ML,gpu_inference,Australia East,production,ml-engineering,281.6793,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureOpenAIService/australia-east-001
2025-12-15,Azure OpenAI Service,AI/ML,gpu_inference,Southeast Asia,production,cloud-infra,279.6034,USD,False,,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureOpenAIService/southeast-asia-001
2025-12-15,Azure OpenAI Service,AI/ML,gpu_inference,Central India,production,analytics,242.7464,USD,False,,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureOpenAIService/central-india-001
2025-12-15,Azure OpenAI Service,AI/ML,gpu_inference,UK South,production,ml-engineering,253.7797,USD,False,,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureOpenAIService/uk-south-001
2025-12-15,Azure Databricks,Analytics,cpu_general,East US,production,data-platform,400.669,USD,False,,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureDatabricks/east-us-001
