date,service_name,category,chip_family,region,environment,cost_centre,cost_usd,currency,anomaly_injected,anomaly_reason,resource_id
2026-01-13,Azure Machine Learning,AI/ML,gpu_training,West Europe,production,data-platform,2292.2383,USD,True,GPU cluster left running overnight — training job not terminated,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureMachineLearning/west-europe-001
2026-01-13,Azure Machine Learning,AI/ML,gpu_training,Southeast Asia,staging,data-platform,2256.3331,USD,True,GPU cluster left running overnight — training job not terminated,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureMachineLearning/southeast-asia-001
2026-01-13,Azure Machine Learning,AI/ML,gpu_training,East US,staging,analytics,2363.7942,USD,True,GPU cluster left running overnight — training job not terminated,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureMachineLearning/east-us-001
2026-01-13,Azure Machine Learning,AI/ML,gpu_training,UK South,production,analytics,2280.7115,USD,True,GPU cluster left running overnight — training job not terminated,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureMachineLearning/uk-south-001
2026-02-07,Azure Blob Storage,Storage,storage,Southeast Asia,staging,ml-engineering,458.4695,USD,True,Accidental public container — massive egress from data leak,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureBlobStorage/southeast-asia-001
2026-02-07,Azure Blob Storage,Storage,storage,Central India,staging,finops,420.8583,USD,True,Accidental public container — massive egress from data leak,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureBlobStorage/central-india-001
2026-02-07,Azure Blob Storage,Storage,storage,East US,production,cloud-infra,420.8308,USD,True,Accidental public container — massive egress from data leak,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureBlobStorage/east-us-001
2026-03-04,Azure Kubernetes Service,Compute,cpu_general,Central India,production,data-platform,1106.2537,USD,True,HPA misconfiguration — pods scaled to max on low-traffic day,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureKubernetesService/central-india-001
2026-03-04,Azure Kubernetes Service,Compute,cpu_general,East US,production,finops,865.1193,USD,True,HPA misconfiguration — pods scaled to max on low-traffic day,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureKubernetesService/east-us-001
2026-03-04,Azure Kubernetes Service,Compute,cpu_general,Australia East,production,finops,964.3995,USD,True,HPA misconfiguration — pods scaled to max on low-traffic day,/subscriptions/demo/resourceGroups/finops/providers/Microsoft/AzureKubernetesService/australia-east-001
2026-04-03,Azure OpenAI Service,AI/ML,gpu_inference,Central India,development,cloud-infra,1394.3074,USD,True,Runaway API calls from misconfigured retry logic in prod,/subscriptions/demo/resourceGroups/cloud-infra/providers/Microsoft/AzureOpenAIService/central-india-001
2026-04-03,Azure OpenAI Service,AI/ML,gpu_inference,Australia East,development,data-platform,1510.4768,USD,True,Runaway API calls from misconfigured retry logic in prod,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureOpenAIService/australia-east-001
2026-05-03,Azure Data Factory,Integration,cpu_general,Central India,production,analytics,262.8966,USD,True,Pipeline trigger duplicated — all jobs ran 4x on same day,/subscriptions/demo/resourceGroups/analytics/providers/Microsoft/AzureDataFactory/central-india-001
2026-05-03,Azure Data Factory,Integration,cpu_general,Southeast Asia,development,data-platform,241.4546,USD,True,Pipeline trigger duplicated — all jobs ran 4x on same day,/subscriptions/demo/resourceGroups/data-platform/providers/Microsoft/AzureDataFactory/southeast-asia-001
2026-05-23,Azure Databricks,Analytics,cpu_general,UK South,production,ml-engineering,926.5789,USD,True,All-purpose cluster used instead of job cluster for batch job,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureDatabricks/uk-south-001
2026-05-23,Azure Databricks,Analytics,cpu_general,West Europe,production,ml-engineering,797.1156,USD,True,All-purpose cluster used instead of job cluster for batch job,/subscriptions/demo/resourceGroups/ml-engineering/providers/Microsoft/AzureDatabricks/west-europe-001
